Year,City,% All Families
2015,Alameda ,5.2
2015,Alhambra ,11.8
2015,Anaheim ,11.8
2015,Antioch ,11.8
2015,Apple Valley town,19.3
2015,Arden-Arcade,13.8
2015,Bakersfield ,14.3
2015,Baldwin Park ,14.4
2015,Bellflower ,10.9
2015,Berkeley ,4.4
2015,Buena Park ,13
2015,Burbank ,9
2015,Camarillo ,5.4
2015,Carlsbad ,2.7
2015,Carmichael,14.3
2015,Carson ,6.4
2015,Chico ,14.1
2015,Chino ,10.5
2015,Chino Hills ,2.8
2015,Chula Vista ,9.1
2015,Citrus Heights ,8.4
2015,Clovis ,9.9
2015,Compton ,19
2015,Concord ,7.6
2015,Corona ,8.5
2015,Costa Mesa ,9.6
2015,Daly City ,5.9
2015,Davis ,6.7
2015,Downey ,7.8
2015,East Los Angeles,17.2
2015,El Cajon ,19.1
2015,Elk Grove ,6.2
2015,El Monte ,19.3
2015,Escondido ,12.7
2015,Fairfield ,11.3
2015,Florence-Graham  ,25.5
2015,Folsom ,3.1
2015,Fontana ,14.2
2015,Fremont ,3.1
2015,Fresno ,23.4
2015,Fullerton ,7
2015,Garden Grove ,16.2
2015,Glendale ,9.1
2015,Hawthorne ,18.3
2015,Hayward ,7.5
2015,Hemet ,19.8
2015,Hesperia ,21.2
2015,Huntington Beach ,5.7
2015,Indio ,10.6
2015,Inglewood ,19.1
2015,Irvine ,8.5
2015,Jurupa Valley ,13.8
2015,Laguna Niguel ,5.4
2015,Lake Forest ,6.7
2015,Lakewood ,4.5
2015,Lancaster ,20.2
2015,Livermore ,3.3
2015,Long Beach ,13.5
2015,Los Angeles ,15.8
2015,Lynwood ,19.5
2015,Manteca ,12
2015,Menifee ,11.1
2015,Merced ,29.9
2015,Milpitas ,4.5
2015,Mission Viejo ,2.8
2015,Modesto ,16.5
2015,Moreno Valley ,13.4
2015,Mountain View ,1.7
2015,Murrieta ,9.1
2015,Napa ,7.4
2015,Newport Beach ,5.1
2015,Norwalk ,9.2
2015,Oakland ,15.6
2015,Oceanside ,10.3
2015,Ontario ,14.9
2015,Orange ,7.7
2015,Oxnard ,14.7
2015,Palmdale ,15.2
2015,Palo Alto ,5.2
2015,Pasadena ,10.9
2015,Perris ,20.5
2015,Pittsburg ,15.9
2015,Pleasanton ,2.4
2015,Pomona ,14.7
2015,Rancho Cordova ,12
2015,Rancho Cucamonga ,7.3
2015,Redding ,12.6
2015,Redlands ,11.3
2015,Redondo Beach ,2.1
2015,Redwood City ,6
2015,Rialto ,14.7
2015,Richmond ,15
2015,Riverside ,10.5
2015,Roseville ,6.9
2015,Sacramento ,16.4
2015,Salinas ,18.6
2015,San Bernardino ,29.6
2015,San Buenaventura (Ventura) ,5.9
2015,San Clemente ,2
2015,San Diego ,10.5
2015,San Francisco ,7.2
2015,San Jose ,6.4
2015,San Leandro ,7.3
2015,San Marcos ,9.3
2015,San Mateo ,2.9
2015,San Ramon ,3.7
2015,Santa Ana ,18.3
2015,Santa Barbara ,7.1
2015,Santa Clara ,3.2
2015,Santa Clarita ,3.6
2015,Santa Maria ,19
2015,Santa Monica ,3
2015,Santa Rosa ,9.1
2015,Simi Valley ,3.2
2015,South Gate ,14.3
2015,South San Francisco ,5.1
2015,Stockton ,18.6
2015,Sunnyvale ,5.8
2015,Temecula ,6.6
2015,Thousand Oaks ,2.2
2015,Torrance ,6
2015,Tracy ,8
2015,Turlock ,8.9
2015,Tustin ,11
2015,Union City ,3.5
2015,Upland ,11.1
2015,Vacaville ,10.2
2015,Vallejo ,11.3
2015,Victorville ,20.9
2015,Visalia ,19.7
2015,Vista ,13
2015,Walnut Creek ,2
2015,West Covina ,5.8
2015,Westminster ,15.2
2015,Whittier ,8.8
2015,Yorba Linda ,4.2
2015,Yuba City ,16.9
2016,Alameda ,5.6
2016,Alhambra ,9.5
2016,Anaheim ,11.1
2016,Antioch ,11
2016,Apple Valley town,11.6
2016,Arden-Arcade  ,21.6
2016,Bakersfield ,15.9
2016,Baldwin Park ,11.7
2016,Bellflower ,12.1
2016,Berkeley ,2.4
2016,Buena Park ,5.5
2016,Burbank ,6.6
2016,Camarillo ,6.8
2016,Carlsbad ,2.8
2016,Carmichael  ,10.5
2016,Carson ,6.2
2016,Castro Valley  ,7
2016,Chico ,15.4
2016,Chino ,12.4
2016,Chino Hills ,5.5
2016,Chula Vista ,9.4
2016,Citrus Heights ,8.5
2016,Clovis ,10.3
2016,Compton ,21.7
2016,Concord ,7.7
2016,Corona ,9.2
2016,Costa Mesa ,6.9
2016,Daly City ,4.9
2016,Davis ,5.8
2016,Downey ,6.8
2016,East Los Angeles  ,14.7
2016,El Cajon ,19.2
2016,Elk Grove ,6.2
2016,El Monte ,17.9
2016,Escondido ,12.5
2016,Fairfield ,8.9
2016,Florence-Graham  ,26.1
2016,Folsom ,4.9
2016,Fontana ,10.6
2016,Fremont ,1.6
2016,Fresno ,24.5
2016,Fullerton ,9
2016,Garden Grove ,9.8
2016,Glendale ,11.1
2016,Hawthorne ,14.4
2016,Hayward ,8.4
2016,Hemet ,18.8
2016,Hesperia ,15.7
2016,Huntington Beach ,5
2016,Indio ,13.2
2016,Inglewood ,13.8
2016,Irvine ,5.7
2016,Jurupa Valley ,15.2
2016,Laguna Niguel ,4.7
2016,Lake Forest ,7
2016,Lakewood ,7.6
2016,Lancaster ,20.8
2016,Livermore ,3.8
2016,Long Beach ,14
2016,Los Angeles ,15.3
2016,Lynwood ,19.5
2016,Manteca ,6.5
2016,Menifee ,5.9
2016,Merced ,27.5
2016,Milpitas ,3.9
2016,Mission Viejo ,3.2
2016,Modesto ,9.2
2016,Moreno Valley ,13.8
2016,Mountain View ,6.1
2016,Murrieta ,8.1
2016,Napa ,4.6
2016,Newport Beach ,3.1
2016,Norwalk ,13
2016,Oakland ,15.6
2016,Oceanside ,7.3
2016,Ontario ,12.9
2016,Orange ,4.8
2016,Oxnard ,11
2016,Palmdale ,16.2
2016,Palo Alto ,8.4
2016,Pasadena ,8.4
2016,Perris ,20.1
2016,Pittsburg ,7
2016,Pleasanton ,4.1
2016,Pomona ,17.1
2016,Rancho Cordova ,9.8
2016,Rancho Cucamonga ,6
2016,Redding ,11.9
2016,Redlands ,7.5
2016,Redondo Beach ,1.9
2016,Redwood City ,4.1
2016,Rialto ,15.1
2016,Richmond ,12.5
2016,Riverside ,10.3
2016,Roseville ,5.8
2016,Sacramento ,15.4
2016,Salinas ,12.7
2016,San Bernardino ,25.5
2016,San Buenaventura (Ventura) ,4.2
2016,San Clemente ,3.6
2016,San Diego ,8.5
2016,San Francisco ,5.6
2016,San Jose ,6.9
2016,San Leandro ,7.4
2016,San Marcos ,7.2
2016,San Mateo ,3.7
2016,San Ramon ,2.4
2016,Santa Ana ,14.3
2016,Santa Barbara ,8.9
2016,Santa Clara ,3.6
2016,Santa Clarita ,3.8
2016,Santa Maria ,14.6
2016,Santa Monica ,6.1
2016,Santa Rosa ,5.6
2016,Simi Valley ,2.6
2016,South Gate ,17.9
2016,South San Francisco ,5.4
2016,Stockton ,14.2
2016,Sunnyvale ,5.1
2016,Temecula ,6.1
2016,Thousand Oaks ,4.4
2016,Torrance ,3.1
2016,Tracy ,4.4
2016,Turlock ,10.9
2016,Tustin ,8.4
2016,Union City ,3.6
2016,Upland ,11.3
2016,Vacaville ,3.5
2016,Vallejo ,11.4
2016,Victorville ,17
2016,Visalia ,17
2016,Vista ,8.4
2016,Walnut Creek ,3.7
2016,West Covina ,6.7
2016,Westminster ,15.4
2016,Whittier ,6.8
2016,Yorba Linda ,4.1
2016,Yuba City ,13
2017,Alameda ,7
2017,Alhambra ,11.2
2017,Anaheim ,13.4
2017,Antioch ,16.2
2017,Apple Valley town,17.7
2017,Arden-Arcade  ,16.8
2017,Bakersfield ,13
2017,Baldwin Park ,10.1
2017,Bellflower ,8.2
2017,Berkeley ,6.9
2017,Buena Park ,13.2
2017,Burbank ,5.5
2017,Camarillo ,6
2017,Carlsbad ,3.8
2017,Carmichael  ,10.6
2017,Carson ,6.2
2017,Castro Valley  ,3.2
2017,Chico ,12.9
2017,Chino ,9.7
2017,Chino Hills ,6.9
2017,Chula Vista ,9.2
2017,Citrus Heights ,5.8
2017,Clovis ,7.7
2017,Compton ,16.4
2017,Concord ,3.7
2017,Corona ,6.7
2017,Costa Mesa ,10.9
2017,Daly City ,3.8
2017,Davis ,3.8
2017,Downey ,8.5
2017,East Los Angeles  ,19.8
2017,El Cajon ,17.6
2017,Elk Grove ,5.6
2017,El Monte ,17.5
2017,Escondido ,8.7
2017,Fairfield ,8.4
2017,Florence-Graham  ,24.4
2017,Folsom ,2.7
2017,Fontana ,11.8
2017,Fremont ,3.3
2017,Fresno ,19.3
2017,Fullerton ,8.4
2017,Garden Grove ,12.3
2017,Glendale ,12.6
2017,Hawthorne ,11.5
2017,Hayward ,4
2017,Hemet ,15.7
2017,Hesperia ,14
2017,Huntington Beach ,5.4
2017,Indio ,11.1
2017,Inglewood ,12.8
2017,Irvine ,7.8
2017,Jurupa Valley ,9.2
2017,Laguna Niguel ,5.8
2017,Lake Elsinore ,15.5
2017,Lake Forest ,2.6
2017,Lakewood ,4.1
2017,Lancaster ,13.2
2017,Livermore ,1.3
2017,Lodi ,11.5
2017,Long Beach ,12.5
2017,Los Angeles ,13.2
2017,Lynwood ,17.8
2017,Madera ,22.7
2017,Manteca ,10.6
2017,Menifee ,4.6
2017,Merced ,26.8
2017,Milpitas ,5.8
2017,Mission Viejo ,5
2017,Modesto ,10.9
2017,Moreno Valley ,11.3
2017,Mountain View ,2.1
2017,Murrieta ,4.1
2017,Napa ,2.8
2017,Newport Beach ,3.7
2017,Norwalk ,6
2017,Oakland ,11.6
2017,Oceanside ,6.6
2017,Ontario ,10.9
2017,Orange ,9
2017,Oxnard ,11.2
2017,Palmdale ,15.1
2017,Palo Alto ,2.7
2017,Pasadena ,6.4
2017,Perris ,13.2
2017,Pittsburg ,8.4
2017,Pleasanton ,3.4
2017,Pomona ,15.1
2017,Rancho Cordova ,7.6
2017,Rancho Cucamonga ,5.3
2017,Redding ,12.3
2017,Redlands ,9.1
2017,Redondo Beach ,3.6
2017,Redwood City ,6
2017,Rialto ,16.8
2017,Richmond ,11.6
2017,Riverside ,9.3
2017,Roseville ,7.2
2017,Sacramento ,11.6
2017,Salinas ,10.7
2017,San Bernardino ,17.7
2017,San Buenaventura (Ventura) ,8
2017,San Clemente ,4.2
2017,San Diego ,8.5
2017,San Francisco ,5.1
2017,San Jose ,5.8
2017,San Leandro ,7.6
2017,San Marcos ,3.7
2017,San Mateo ,5.4
2017,San Ramon ,5.1
2017,Santa Ana ,13.2
2017,Santa Barbara ,6.4
2017,Santa Clara ,3.7
2017,Santa Clarita ,6.2
2017,Santa Cruz ,14
2017,Santa Maria ,10.7
2017,Santa Monica ,5.3
2017,Santa Rosa ,5.9
2017,Simi Valley ,6.5
2017,South Gate ,19.1
2017,South San Francisco ,5
2017,Stockton ,14.8
